date,close,open,high,low,volume
22/04/2019,29.3,29.7,29.7,29.1,1362678
19/04/2019,29.6,29.8,29.9,29.6,599302
18/04/2019,29.7,29.3,30,29.3,1019057
17/04/2019,29.9,30.1,30.3,29.9,688254
16/04/2019,30,30.2,30.2,29.8,1328836
12/04/2019,30.2,30.2,30.3,30,1051329
11/04/2019,30.3,30.6,30.6,30.1,905666
10/04/2019,30.2,30.3,30.5,30.2,868574
09/04/2019,30.5,30.8,31,30.5,1801683
08/04/2019,30.8,30.2,30.9,30.2,2224599
05/04/2019,30.2,30.2,30.4,30.1,767879
04/04/2019,30.2,29.9,30.3,29.9,1091143
03/04/2019,30.1,30.5,30.5,29.9,1394796
02/04/2019,30.3,30.5,30.7,30.3,1184570
01/04/2019,30.3,30.3,30.5,30.3,751744
29/03/2019,30.3,30.3,30.5,30.2,1915257
28/03/2019,30.3,30.4,30.5,30.2,1366727
27/03/2019,30.4,30.4,30.6,30.2,856984
26/03/2019,30.3,30.2,30.4,30.1,1540206
25/03/2019,30.1,30.4,30.4,29.9,2275202
22/03/2019,30.5,30.4,30.7,30.4,1819172
21/03/2019,30.4,31,31.4,30.4,2939770
20/03/2019,31,31.4,31.4,30.7,3143264
19/03/2019,31.3,32,32,31.2,2828856
18/03/2019,31.9,31.8,32.2,31.7,3739699
15/03/2019,31.7,31.6,31.8,31.3,2649931
14/03/2019,31.5,31.4,32,31.3,2333220
13/03/2019,31.4,31.1,31.7,30.9,5473410
12/03/2019,30.9,30.5,30.9,30.3,2504257
11/03/2019,30.4,30.3,30.6,30.2,1032198
08/03/2019,30.3,30.4,30.6,30.2,1416810
07/03/2019,30.5,30.4,30.7,30.3,3301746
06/03/2019,30.3,30.2,30.4,30,1178516
05/03/2019,30.3,30.4,30.7,30.1,2465893
04/03/2019,30.4,30,30.5,29.9,3120806
01/03/2019,30,29.8,30.1,29.5,1478830
28/02/2019,29.7,30.8,30.8,29.7,3793504
27/02/2019,30.6,30.8,30.9,30.5,1544839
26/02/2019,30.8,30.8,31.2,30.6,2277127
25/02/2019,31,30.7,31.4,30.5,3874034
22/02/2019,30.5,30.2,30.8,30,3974330
21/02/2019,30.1,30.4,30.7,30.1,2970459
20/02/2019,30.4,30.3,30.5,30.2,1693486
19/02/2019,30.3,30.5,30.5,30.2,2754758
18/02/2019,30.4,30.2,30.5,30.2,1908779
15/02/2019,30.2,30.1,30.4,30,2176902
14/02/2019,30.1,30.5,30.5,30.1,1357835
13/02/2019,30.5,30.6,30.7,30.3,2093177
12/02/2019,30.5,30.2,30.6,30.2,2059630
11/02/2019,30.2,29.8,30.9,29.6,1713857
01/02/2019,29.5,29.4,29.6,29.3,781100
31/01/2019,29.4,29.6,29.8,29.3,1674668
30/01/2019,29.3,31,31,29,1565464
