date,close,open,high,low,volume
22/04/2019,47.9,48.5,48.5,47.8,826090
19/04/2019,48.45,48.7,48.9,48.4,453980
18/04/2019,48.5,48.5,49.25,48.05,975930
17/04/2019,48.5,48.3,49.5,48.2,1959530
16/04/2019,47.9,47.5,48.2,47.5,907000
12/04/2019,48.2,46.85,48.4,46.85,875090
11/04/2019,47,46.9,47.5,46.85,359910
10/04/2019,46.9,47,47.3,46.75,731100
09/04/2019,47.3,47.8,48.5,47.3,1011680
08/04/2019,47.8,47.65,48,47.45,452660
05/04/2019,47.8,47.8,47.9,47.45,615200
04/04/2019,47.8,47.5,48.2,47.25,1716130
03/04/2019,47.2,46.4,47.2,46,1034100
02/04/2019,46,45.8,46.7,45.8,1354480
01/04/2019,45.8,45.9,45.9,45.5,327500
29/03/2019,45.5,45.6,45.6,45.3,446750
28/03/2019,45.15,44.75,45.35,44.75,362360
27/03/2019,45,44.8,45.1,44.8,589040
26/03/2019,44.75,45,45,44.5,386120
25/03/2019,44.4,44.2,45,44.2,633520
22/03/2019,45.05,45.1,45.4,45.05,687690
21/03/2019,45.1,45.8,45.8,45.1,825740
20/03/2019,45.45,45.6,45.9,45.25,797270
19/03/2019,45.7,46.2,46.3,45.7,914720
18/03/2019,46.2,46.3,46.45,45.95,994080
15/03/2019,46,46.25,46.3,45.75,1041840
14/03/2019,46.25,46.2,46.5,46,533480
13/03/2019,46.2,46.5,46.7,46.2,1001890
12/03/2019,46.5,44.75,46.5,44.75,1930870
11/03/2019,44.5,44.65,44.85,44.45,364520
08/03/2019,44.65,44.7,44.8,44.45,693180
07/03/2019,44.75,44.6,45,44.6,374340
06/03/2019,44.6,44.95,45.1,44.45,695230
05/03/2019,44.9,45,45.2,44.8,824300
04/03/2019,45,44.6,45.2,44.6,806770
01/03/2019,44.6,44.55,44.6,44.15,590780
28/02/2019,44.2,45.1,45.1,44.2,1372190
27/02/2019,45.1,45.2,45.45,44.9,485650
26/02/2019,45.2,45.6,45.6,45,663220
25/02/2019,45.5,45.55,46.2,45.45,1023660
22/02/2019,45.2,44.8,45.4,44.4,1243720
21/02/2019,44.8,44.7,44.9,44.3,749950
20/02/2019,44.85,44.3,45.05,44.3,499430
19/02/2019,44.4,44.7,45.15,44.3,1470880
18/02/2019,44.4,44.5,44.6,44.1,306310
15/02/2019,44.2,44.25,44.45,44,647230
14/02/2019,44.25,44.65,44.9,44.25,616980
13/02/2019,44.55,44,45,44,1125370
12/02/2019,43.9,44,44.6,43.9,701570
11/02/2019,44.15,43,44.3,42.7,1000430
01/02/2019,42.6,43.2,43.2,41.5,599890
31/01/2019,43.2,43.3,43.4,42.9,517260
30/01/2019,43.2,42.5,43.4,42.4,689260
29/01/2019,42.5,42.4,42.5,42,430580
28/01/2019,42.1,42.5,42.5,42.1,216330
25/01/2019,42.4,42.4,42.6,42.3,213470
24/01/2019,42.45,42.4,42.6,42.35,234470
23/01/2019,42.35,42.3,42.4,42.15,193460
22/01/2019,42.35,42.5,42.75,42.35,141480
21/01/2019,42.5,42.2,42.8,42.2,247800
18/01/2019,42,42.1,42.5,42,227150
17/01/2019,42,42.5,42.75,42,379770
16/01/2019,42.55,43,43,42.55,186590
15/01/2019,42.8,42.3,42.8,42.3,339480
14/01/2019,42.5,42.3,42.6,42,398400
11/01/2019,42.2,42.4,42.55,42.05,596090
10/01/2019,42.15,42.4,42.55,42.15,207330
09/01/2019,42.4,42.1,42.6,41.9,309040
08/01/2019,42,41.8,42,41.7,295660
07/01/2019,41.8,41.8,42.1,41.6,408470
04/01/2019,41.1,40.6,41.45,40.5,318570
03/01/2019,40.8,41.45,41.45,40.7,716600
02/01/2019,41.2,41.8,42.15,41.15,459120
28/12/2018,42.2,42.05,42.2,41.8,387170
27/12/2018,41.8,42.1,42.25,41.8,454860
26/12/2018,41.4,41.5,41.85,41.4,333590
25/12/2018,41.5,41.4,41.5,41,732310
24/12/2018,42,42.6,42.8,42,212530
21/12/2018,42.5,41.9,42.5,41.9,453810
20/12/2018,42.05,42.3,42.4,42.05,461210
19/12/2018,42.1,42,42.6,41.85,471580
18/12/2018,42,42.35,42.8,41.85,1125660
17/12/2018,43,44.1,44.1,43,777640
14/12/2018,44.15,44.6,44.8,44.1,787920
13/12/2018,44.6,44.95,45.25,44.5,780570
12/12/2018,44.45,44.05,44.55,44.05,664120
11/12/2018,44.05,44.3,44.5,43.9,382700
10/12/2018,44.2,44.8,45,44.2,694990
07/12/2018,45.1,44.6,45.35,44.6,763170
06/12/2018,44.4,44.5,44.8,44.05,484120
05/12/2018,44.6,44.45,44.95,44.4,605880
04/12/2018,44.95,44.9,45.5,44.75,1011170
03/12/2018,44.9,43.2,44.9,43.2,1136360
