date,close,open,high,low,volume
22/04/2019,87.9,87.6,88,87.5,292240
19/04/2019,87.6,86,88,86,57480
18/04/2019,86,86.1,87.9,86,407720
17/04/2019,88,87.8,88.1,87,730310
16/04/2019,87.8,86,88.1,85.4,290800
12/04/2019,87.8,87.8,88.1,87,95630
11/04/2019,87.7,86.7,88,86.7,188220
10/04/2019,86.7,85.2,87,85.2,292050
09/04/2019,87.5,88.7,88.7,87,280380
08/04/2019,88.3,88,88.5,85.8,582440
05/04/2019,88.3,87.8,88.8,87.8,231110
04/04/2019,87.8,87.1,88.1,87.1,336280
03/04/2019,87.7,88.1,88.1,87,303680
02/04/2019,88.1,88.3,88.6,86.3,393200
01/04/2019,88,85.6,88,85.2,515710
29/03/2019,84.3,85,86.9,84.3,756010
28/03/2019,85,85,85,84.2,395730
27/03/2019,85,83.1,85.2,83.1,455910
26/03/2019,83.1,82.2,84,82.2,488320
25/03/2019,82.2,83,83.7,82.1,488150
22/03/2019,84.5,84.9,85.3,84.5,759190
21/03/2019,85,85.1,85.4,84.3,665060
20/03/2019,85,85.2,86.2,84,591560
19/03/2019,87,87.3,87.3,86,442460
18/03/2019,86.8,86.5,87.6,84.8,766250
15/03/2019,86.5,88.6,89,85.3,1372560
14/03/2019,88.6,89,89.3,88.6,201760
13/03/2019,89,88.5,89.5,88.5,1014640
12/03/2019,88.5,89.6,90,88.1,653990
11/03/2019,89.6,88.1,89.7,88.1,602350
08/03/2019,89.8,89.1,90,88.5,469730
07/03/2019,90,90.7,91,89.8,947510
06/03/2019,90,90,90.2,89.3,695520
05/03/2019,89.4,89.5,90.9,89.3,772090
04/03/2019,89.5,89.1,91.4,89,1284390
01/03/2019,89,89,89.2,88.2,683440
28/02/2019,88.9,89.9,89.9,88.5,835220
27/02/2019,89.9,90.1,90.9,89.8,788910
26/02/2019,90,91,91.2,88.4,902730
25/02/2019,91.2,92,92,90.5,1139980
22/02/2019,88.4,89.9,91,88.4,1234210
21/02/2019,89.7,86.3,89.9,86.3,2224960
20/02/2019,86,86,86.4,85.8,1131460
19/02/2019,86.5,85.1,86.6,85.1,1121720
18/02/2019,85.4,85,85.5,84.9,659240
15/02/2019,84.7,85.8,85.8,84.6,779850
14/02/2019,86,85.9,86.4,84,1451830
13/02/2019,85.9,82.3,85.9,82.3,1361490
12/02/2019,82.3,81.5,83,80.8,1032810
11/02/2019,80.2,79.9,82.2,79.8,1094450
01/02/2019,78.4,78,78.6,77.5,679540
31/01/2019,77.7,79.4,79.6,77.7,721900
30/01/2019,79.1,79.1,79.6,79.1,591400
