date,close,open,high,low,volume
22/04/2019,67.9,67.1,68.1,67,313210
19/04/2019,68,67.9,68.5,67.9,232550
18/04/2019,67.9,67.5,68.7,67.5,554820
17/04/2019,68,67.9,68.2,67,516710
16/04/2019,67.4,68,68,66.4,404640
12/04/2019,68,68.6,68.6,67.6,355400
11/04/2019,68.5,69,69,67.7,405090
10/04/2019,68.9,69.5,69.5,68.8,719030
09/04/2019,69.8,69.7,70,69.4,759180
08/04/2019,69.7,68.1,69.7,67.9,1121900
05/04/2019,68.1,67.8,68.2,67.8,477530
04/04/2019,67.7,67.2,67.9,66.8,948960
03/04/2019,67.2,67.5,67.6,66.5,445650
02/04/2019,67.5,68,68.5,67.5,556970
01/04/2019,67.8,67.9,67.9,67.6,684060
29/03/2019,67.3,67,67.5,66.8,678050
28/03/2019,66.7,65.7,66.7,65.4,742470
27/03/2019,65.5,65.9,65.9,64.7,538180
26/03/2019,65.5,66.1,66.5,65.5,1127550
25/03/2019,65.5,65,66,64,1635900
22/03/2019,66.9,66.8,67,66.5,1375420
21/03/2019,66.6,66.9,67.9,66.5,1525770
20/03/2019,66.7,66.7,67.2,66.2,2441040
19/03/2019,66.8,67.6,67.6,66.7,1390640
18/03/2019,67.6,66.5,67.8,66.5,1936700
15/03/2019,66,67.2,67.2,66,2616060
14/03/2019,67,65.2,67,64.5,2271650
13/03/2019,65.2,65,65.2,64.5,1680350
12/03/2019,64.8,63,64.8,62.7,2194380
11/03/2019,62.6,62.4,62.7,61.9,1020600
08/03/2019,62.8,62.4,63,62.1,997370
07/03/2019,63.1,62.7,63.8,62.6,1897450
06/03/2019,62.7,63.1,63.3,61.9,1081870
05/03/2019,63,62.8,63.8,62.5,1576750
04/03/2019,62.8,62.2,63,62.2,1347480
01/03/2019,62.2,61,62.2,60.8,713500
28/02/2019,60.5,61.9,62.5,60.5,2027080
27/02/2019,61.9,62.8,63,61.6,1148480
26/02/2019,63,63.4,63.5,61.9,1976570
25/02/2019,63.4,62.5,63.9,62.3,2079790
22/02/2019,62,60.2,62.4,60,2502840
21/02/2019,60.1,59.5,60.1,59.1,2044240
20/02/2019,59.1,59.3,59.6,58.9,818480
19/02/2019,59,60,60.2,59,1304520
18/02/2019,60,59.5,60,59.5,1027840
15/02/2019,59.3,60,60,59.2,1249180
14/02/2019,60.2,59.8,60.3,59.6,1629070
13/02/2019,59.8,58.6,59.9,58.6,1853680
12/02/2019,58.6,58.1,59,57.8,1683680
11/02/2019,58.1,57,58.2,56.8,1395030
01/02/2019,56.5,57,57.4,56.5,827040
31/01/2019,56.8,56.8,57.4,56.8,1147760
30/01/2019,56.7,56.7,57.2,56.7,1152720
29/01/2019,56.7,55.5,56.7,55.2,973050
28/01/2019,55.5,56,56,55.5,336990
25/01/2019,55.8,55.5,56.1,55.4,1008850
24/01/2019,55.4,55.4,55.6,55,463870
23/01/2019,55.4,54.9,55.5,54.9,514720
22/01/2019,55.2,56,56,55.2,398340
21/01/2019,55.8,54.6,56.2,54.5,870530
18/01/2019,54.8,55.2,55.4,54.8,542400
17/01/2019,55.2,55.3,55.7,55.1,460060
