date,close,open,high,low,volume
22/04/2019,111.9,109,111.9,107,794060
19/04/2019,110.1,110,110.6,108.2,414050
18/04/2019,109,109.5,110,105,891240
17/04/2019,110,111.3,113,110,960220
16/04/2019,113.1,109.5,113.1,108,1231190
12/04/2019,113.2,115,115,113,551990
11/04/2019,115,111.8,115,111.8,350810
10/04/2019,111.8,113,114,110.9,696000
09/04/2019,113,116,116,112.8,1156710
08/04/2019,115.5,115.2,115.8,114.8,435190
05/04/2019,115.1,115.3,115.4,114.6,235790
04/04/2019,115.1,115.3,115.8,114.1,383730
03/04/2019,114.9,115.5,116,114.5,464270
02/04/2019,116.3,116.9,117.2,116.2,1036350
01/04/2019,116.5,116.4,116.5,115.8,828430
29/03/2019,115.9,115.9,116.8,115.9,1099970
28/03/2019,115.9,113.9,115.9,113.9,561880
27/03/2019,113.9,115,115.9,113.9,772080
26/03/2019,113.7,115.5,116.8,113,846570
25/03/2019,115.2,117,117.3,115,886800
22/03/2019,118.6,117,118.9,117,1114660
21/03/2019,117,120,120.3,117,1208480
20/03/2019,120.2,121,121,119.1,780190
19/03/2019,121,121.3,122.4,120.7,1190080
18/03/2019,121.3,120,121.3,119.1,1114570
15/03/2019,118.7,119.3,119.3,117.9,1704580
14/03/2019,118.8,116.5,118.8,115.6,1155340
13/03/2019,117.5,118.5,120,117,1262350
12/03/2019,118.6,119,119.4,118.2,902200
11/03/2019,118.3,117,118.3,117,429390
08/03/2019,118.1,119,119.6,118.1,845280
07/03/2019,119.2,117.9,122.5,117.8,1797980
06/03/2019,117.7,117.7,117.7,117.1,377280
05/03/2019,117.3,117.4,117.8,116.9,706060
04/03/2019,117.4,116.7,117.6,115.8,660550
01/03/2019,115.1,114,117,114,739260
28/02/2019,114,117,117.4,113.1,1132410
27/02/2019,117.4,115.5,117.9,115.5,824620
26/02/2019,115.5,116,116.6,113.5,792710
25/02/2019,116.3,117,117.9,115.9,624890
22/02/2019,117,118,118.4,116.6,720970
21/02/2019,118.4,116.5,118.4,116.3,1162700
20/02/2019,116.5,115.2,116.9,115.2,678800
19/02/2019,116,113.5,116.6,113.5,1002020
18/02/2019,113.7,112.5,113.7,111.7,829150
15/02/2019,112,113,113,112,670900
14/02/2019,112.9,109,113,109,995310
13/02/2019,109,108,109.3,107.2,822040
12/02/2019,109.1,104.9,109.1,104,769110
11/02/2019,104,101.8,104,101.2,527310
01/02/2019,98.8,103.8,103.8,98.8,2095840
31/01/2019,103.9,104,104.5,102.5,651020
30/01/2019,103.9,103.9,104,102.9,370040
29/01/2019,103.9,104.9,104.9,103,225310
28/01/2019,103.7,102.9,103.7,102.6,381260
25/01/2019,102.9,102.8,103.5,102.2,306670
24/01/2019,102.8,102.5,102.9,102.2,184720
23/01/2019,102.6,102,103.7,102,299570
22/01/2019,102.4,102.4,102.4,101.5,258070
21/01/2019,102.4,102.2,102.4,101.3,404250
18/01/2019,102.2,101.5,102.2,100.9,498290
17/01/2019,102,102,102.2,100.7,325130
16/01/2019,102,101.5,102.1,100.8,518160
15/01/2019,101.5,101.4,101.5,100.4,711450
14/01/2019,101.4,101.3,101.9,100.2,562930
11/01/2019,101.4,101,101.4,100.1,569030
10/01/2019,101.4,101.2,101.5,100,551980
09/01/2019,101.5,101,101.9,99,659210
08/01/2019,101,102,102,99.7,494300
07/01/2019,101,100.9,103,99.9,589150
04/01/2019,100.6,100,100.7,98,458000
03/01/2019,100.3,100,100.3,98.2,496950
02/01/2019,100.4,101.2,101.3,97.5,602450
28/12/2018,95.3,103.3,103.4,95.3,381320
27/12/2018,102.4,101,102.9,101,690680
26/12/2018,101.9,101,101.9,101,367750
25/12/2018,101.9,100.1,101.9,100.1,293610
24/12/2018,102,102,102.2,101.3,216960
21/12/2018,102,100.5,102,100,791040
20/12/2018,101.9,101,102,100.8,387370
19/12/2018,102,102,102.3,100.5,506600
18/12/2018,102,101.8,102,100,531470
17/12/2018,102.5,102,102.7,101.9,205950
14/12/2018,102.7,102.2,103,101.6,234660
13/12/2018,102.8,102.5,103.9,101.8,488820
12/12/2018,102.2,102.2,102.4,102,403320
11/12/2018,102.2,102.1,102.2,101.4,457470
10/12/2018,102.1,102,102.2,101.1,806730
07/12/2018,102.2,102.1,102.2,101.5,460960
06/12/2018,102.1,102.1,102.2,101.1,251610
05/12/2018,102.1,101.9,102.2,101,461240
04/12/2018,102,102.4,102.4,101.6,966490
03/12/2018,101.9,101.8,103,101.3,262710
30/11/2018,101.7,101,102,97.5,1024240
29/11/2018,102,102.5,103,101.7,367130
28/11/2018,102,101.5,102,100.8,577600
27/11/2018,101.5,100.5,103.2,100.5,467400
26/11/2018,100.5,99,100.5,98,642520
23/11/2018,99,98.8,99,97,1055870
22/11/2018,98,97.2,98,96.5,1345610
21/11/2018,97.3,97,97.3,95,1609020
20/11/2018,97.2,94.7,97.2,94.7,1470120
19/11/2018,96.4,90.1,96.4,90.1,1553130
16/11/2018,90.1,91.7,92.5,89.8,895700
